ID_EQUIPO,ID_TIPO_EQ,TIPO_EQUIPO,ID_EMPRESA,NOMBRE_EQUIPO,MARCA,MODELO,SERIE,QR,FOTO,UBICACION,PERIODICIDAD
298,16,AIRE ACONDICIONADO,1019,SALA MULTIPROPÓSITO ,ANWO , 12000 BTU,482,,,CESAM BELLOTO SUR,TRIMESTRAL
299,16,AIRE ACONDICIONADO,1019,SPLIT MURO NORWOOD,NORWOOD,NW-09HRE ,9000 BTU,,EQUIPOS_Images/299.FOTO.122319.jpg,CLÍNICA DENTAL MÓVIL ,TRIMESTRAL 
300,16,AIRE ACONDICIONADO,1019,SPLIT MURO ANWO,ANWO,NW-09HRE ,9000 BTU,,EQUIPOS_Images/300.FOTO.122447.jpg,CLÍNICA DENTAL MÓVIL ,TRIMESTRAL 
301,16,AIRE ACONDICIONADO,1019,CESAM,URSUS TROTTER,COOLWAVE,9000 BTU,,EQUIPOS_Images/301.FOTO.151653.jpg,CESAM LA CALERA ,TRIMESTRAL 
302,16,AIRE ACONDICIONADO,1019,OFICINA ENTREGA DE MEDICAMENTOS,KENDAL,   N2ASM-09MDS,9000 BTU,,EQUIPOS_Images/302.FOTO.162158.jpg,CESAM LIMACHE,TRIMESTRAL 
303,16,AIRE ACONDICIONADO,1019,SALA DE FRACCIONAMIENTO ANWO 12000,ANWO GES12 E,   N2ASM-09MDS,12000 btu,,EQUIPOS_Images/303.FOTO.154049.jpg,CESAM LIMACHE,TRIMESTRAL 
304,16,AIRE ACONDICIONADO,1019,CARRO DE TRANSPORTE  (ROOFTOP),ROOOFTOP ANWO,MRT-050 HWN1,62.500 BTU/H. ROOFTOP,,EQUIPOS_Images/304.FOTO.180458.jpg,HOSPITAL PEÑABLANCA,TRIMESTRAL 
305,16,AIRE ACONDICIONADO,1019,CARRO DE TRANSPORTE  (ROOFTOP),ROOOFTOP ANWO,MRT-050 HWN1,62.500 BTU/H. ROOFTOP,,EQUIPOS_Images/305.FOTO.180621.jpg,HOSPITAL PEÑABLANCA,TRIMESTRAL 
306,16,AIRE ACONDICIONADO,1019,SPLIT NUMERO TRES,SAMSUNG,AR24TSHQBURN,24000 BTU SPLIT MURO NUMERO 3,,EQUIPOS_Images/306.FOTO.155621.jpg,DROGUERÍA ,TRIMESTRAL 
307,16,AIRE ACONDICIONADO,1019,SPLIT NUMERO CUATRO,SAMSUNG,AR24TSHQBURN,24000 BTU SPLIT MURO NUNERO 4,,EQUIPOS_Images/307.FOTO.160052.jpg,DROGUERÍA ,TRIMESTRAL 
